sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
30.45,bus2,N/A,405545580#1_0,N/A,20.09,no,N/A,No TLS ahead
30.5,bus1,N/A,406241587#1_0,N/A,15.57,no,N/A,No TLS ahead
30.5,bus2,N/A,405545580#1_0,N/A,20.11,no,N/A,No TLS ahead
30.55,bus1,N/A,406241587#1_0,N/A,15.63,no,N/A,No TLS ahead
30.55,bus2,N/A,405545580#1_0,N/A,20.1,no,N/A,No TLS ahead
30.6,bus1,N/A,406241587#1_0,N/A,15.68,no,N/A,No TLS ahead
30.6,bus2,N/A,405545580#1_0,N/A,20.09,no,N/A,No TLS ahead
30.65,bus1,N/A,:cluster_10716018717_123629554_4_0,N/A,15.72,no,N/A,No TLS ahead
30.65,bus2,N/A,405545580#1_0,N/A,20.1,no,N/A,No TLS ahead
30.7,bus1,N/A,:cluster_10716018717_123629554_4_0,N/A,15.77,no,N/A,No TLS ahead
30.7,bus2,N/A,405545580#1_0,N/A,20.09,no,N/A,No TLS ahead
30.75,bus1,N/A,:cluster_10716018717_123629554_4_0,N/A,15.83,no,N/A,No TLS ahead
30.75,bus2,N/A,405545580#1_0,N/A,20.11,no,N/A,No TLS ahead
30.8,bus1,N/A,:cluster_10716018717_123629554_4_0,N/A,15.88,no,N/A,No TLS ahead
30.8,bus2,N/A,405545580#1_0,N/A,20.1,no,N/A,No TLS ahead
30.85,bus1,N/A,:cluster_10716018717_123629554_4_0,N/A,15.93,no,N/A,No TLS ahead
30.85,bus2,N/A,405545580#1_0,N/A,20.1,no,N/A,No TLS ahead
